Import Deal ID,Deal Name,Customer Code,Sector,Deal Stage,Deal Status,Deal Value,Win Probability,Tentative Close Date,Tentative Close Period,Actual Close Date,Deal Owner,Created Date,Product or Service,Data Quality Severity,Data Quality Issues,Source Row Number
IMPORT-DEAL-031ECA77CE98,Katara,COMPANY_038,Renewables,Work Order Received,Won,,,,,,OWNER_001,2025-08-13,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-031ECA77CE98 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed) | [missing_exact_close_date] Tentative close date is missing,252
IMPORT-DEAL-8BB4E34D8CE7,Ochaco,COMPANY_148,Powerline,Work Order Received,Won,152925.0,0.8,2025-07-31,,2025-07-31,OWNER_002,2025-06-10,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_148' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8BB4E34D8CE7 due to missing source primary key,253
IMPORT-DEAL-8D3217D2CCA2,Sokka,COMPANY_172,Mining,Project Completed,Won,,,2024-09-30,,,,2024-08-09,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_172' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8D3217D2CCA2 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),254
IMPORT-DEAL-86B23015DFB7,Zuko,COMPANY_172,Others,Project Completed,Won,,,2025-07-28,,,OWNER_003,2025-04-24,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_172' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-86B23015DFB7 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),255
IMPORT-DEAL-3A3153CDFEB2,Zuko,COMPANY_033,Renewables,Work Order Received,Won,134574.0,,2025-05-27,,,OWNER_003,2025-05-06,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_033' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-3A3153CDFEB2 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),256
IMPORT-DEAL-415C22D899CC,Appa,COMPANY_163,Renewables,Work Order Received,Won,1079650.5,,2024-11-17,,,OWNER_003,2024-08-30,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_163' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-415C22D899CC due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),257
IMPORT-DEAL-67347E97C324,Appa,COMPANY_005,Others,Project Completed,Won,183510.0,,2024-09-30,,,OWNER_003,2024-08-30,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-67347E97C324 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),258
IMPORT-DEAL-EA95BCA92E0D,Appa,COMPANY_133,Renewables,Project Completed,Won,,,2024-09-30,,,OWNER_003,2024-08-30,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_133' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-EA95BCA92E0D due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),259
IMPORT-DEAL-8E6758707587,Appa,COMPANY_133,Renewables,Work Order Received,Won,1345740.0,,2024-10-31,,,OWNER_003,2024-09-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_133' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8E6758707587 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),261
IMPORT-DEAL-BDD790EACE90,Appa,COMPANY_005,Mining,Work Order Received,Won,3303180.0,,2024-10-31,,,OWNER_003,2024-09-20,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-BDD790EACE90 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),262
IMPORT-DEAL-34D3D767F799,Po (Kung Fu Panda),COMPANY_005,Mining,Work Order Received,Won,1345740.0,,2024-10-31,,,OWNER_003,2024-09-20,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-34D3D767F799 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),263
IMPORT-DEAL-40640A596B4A,Po (Kung Fu Panda),COMPANY_005,Mining,Work Order Received,Won,,,2024-10-31,,,OWNER_003,2024-09-20,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-40640A596B4A due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),264
IMPORT-DEAL-6A1FF8927CAF,Po (Kung Fu Panda),COMPANY_038,Renewables,Project Completed,Won,,,2024-11-13,,,,2024-11-05,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-6A1FF8927CAF due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),265
IMPORT-DEAL-2D082BF2817F,Shrek,COMPANY_005,Construction,Work Order Received,Won,91755.0,,2024-12-31,,,OWNER_003,2024-11-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-2D082BF2817F due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),266
IMPORT-DEAL-A245D7573552,Donkey,COMPANY_059,Renewables,Work Order Received,Won,152925.0,,2025-01-14,,,OWNER_003,2024-11-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_059' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-A245D7573552 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),267
IMPORT-DEAL-4A0CCC31C139,Donkey,COMPANY_029,Renewables,Work Order Received,Won,305850.0,,2024-12-31,,,OWNER_003,2024-11-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_029' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-4A0CCC31C139 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),268
IMPORT-DEAL-490EDE820329,Puss in Boots,COMPANY_105,Renewables,Project Completed,Won,,,2025-01-06,,2025-01-06,OWNER_001,2024-11-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_105' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-490EDE820329 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),269
IMPORT-DEAL-FE7DBC4320E4,Puss in Boots,COMPANY_123,Renewables,Work Order Received,Won,,,2024-12-31,,2024-12-31,OWNER_001,2024-11-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_123' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-FE7DBC4320E4 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),270
IMPORT-DEAL-20F7327F3AD1,Puss in Boots,COMPANY_133,Renewables,Work Order Received,Won,342552.0,,2025-01-14,,,OWNER_003,2024-11-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_133' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-20F7327F3AD1 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),271
IMPORT-DEAL-B40B682DA8C9,Winnie the Pooh,COMPANY_133,Renewables,Work Order Received,Won,342552.0,,2025-01-14,,,OWNER_003,2024-11-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_133' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-B40B682DA8C9 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),272
IMPORT-DEAL-8CD5BB58870C,Tigger,COMPANY_038,Renewables,Project Completed,Won,,,2025-06-23,,2025-06-23,OWNER_001,2024-12-05,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8CD5BB58870C due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),273
IMPORT-DEAL-78C9AB07E31C,Eeyore,COMPANY_038,Renewables,Project Completed,Won,,,2025-06-23,,,OWNER_001,2024-12-05,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-78C9AB07E31C due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),274
IMPORT-DEAL-B886CF75147D,Buzz Lightyear,COMPANY_038,Renewables,Amount Accrued,Won,,,2025-06-11,,,OWNER_001,2025-01-06,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-B886CF75147D due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),275
IMPORT-DEAL-6B1609AD7D1D,Woody,COMPANY_056,Mining,Work Order Received,Won,2936160.0,,2025-05-13,,,OWNER_003,2025-01-14,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_056' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-6B1609AD7D1D due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),276
IMPORT-DEAL-D881D7D25FE0,Jessie,COMPANY_005,Others,Work Order Received,Won,183510.0,,2025-02-28,,,OWNER_003,2025-01-16,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-D881D7D25FE0 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),277
IMPORT-DEAL-862BA53CF7B0,Jessie,COMPANY_038,Renewables,Work Order Received,Won,194275.92,,2025-02-28,,,OWNER_003,2025-01-16,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-862BA53CF7B0 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),278
