Work Order ID,Work Order Name,Deal Reference (Unavailable),Customer Code,Sector,Nature of Work,Execution Status,Contract Value Excl Tax,Contract Value Incl Tax,Implied Tax Rate,Probable Start Date,Probable End Date,Completion Date,Invoice Status,Billing Status,Owner,Data Quality Severity,Data Quality Issues,Source Row Number
SDPLDEAL-067,Frieza,,COMPANY_022,Mining,One time Project,Completed,125169.8,147700.364,0.18,2025-05-01,2025-06-16,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_022',65
SDPLDEAL-068,Subaru,,COMPANY_019,Mining,One time Project,Completed,61690.83,72795.17940000001,0.18,2025-05-01,2025-06-16,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',66
SDPLDEAL-069,Subaru,,COMPANY_019,Mining,One time Project,Completed,144622.2968,170654.31022400002,0.18,2025-05-01,2025-06-16,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',67
SDPLDEAL-070,Subaru,,COMPANY_019,Mining,One time Project,Completed,80098.8064,94516.59155200001,0.18,2025-05-01,2025-06-17,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',68
SDPLDEAL-071,Subaru,,COMPANY_019,Mining,One time Project,Completed,94747.98920000001,111802.627256,0.18,2025-05-01,2025-06-17,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',69
SDPLDEAL-072,Subaru,,COMPANY_019,Mining,One time Project,Completed,234398.02360000001,276589.667848,0.18,2025-05-01,2025-06-17,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',70
SDPLDEAL-073,Tanjiro,,COMPANY_051,Mining,One time Project,Completed,321865.2,379800.93600000005,0.18,2025-05-15,2025-06-15,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',71
SDPLDEAL-074,Frieza,,COMPANY_022,Mining,One time Project,Completed,188717.79220400003,222686.99480072001,0.18,2025-05-01,2025-06-16,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_022',72
SDPLDEAL-076,Yuji Itadori,,COMPANY_006,Renewables,One time Project,Completed,431620.0,509311.60000000003,0.18,2025-04-05,2025-04-11,,,Billed,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_006',73
SDPLDEAL-077,Winnie the Pooh,,COMPANY_042,Mining,Proof of Concept,Completed,0.0,0.0,,2025-04-30,2025-04-30,,,Not Billable,OWNER_003,warning,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_042' | [unexpected_tax_rate] Cannot calculate implied tax rate with non-positive exclusive amount 0.0,74
SDPLDEAL-078,Alias_162,,COMPANY_052,Mining,Proof of Concept,Completed,0.0,0.0,,2025-06-13,2025-06-13,,,Not Billable,OWNER_003,warning,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052' | [unexpected_tax_rate] Cannot calculate implied tax rate with non-positive exclusive amount 0.0,75
SDPLDEAL-079,Trunks,,COMPANY_015,Railways,Proof of Concept,Completed,554940.0,654829.2000000001,0.18,2025-04-23,2025-04-23,,,Not Billable,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_015',76
SDPLDEAL-080,Tuxedo Mask,,COMPANY_052,Mining,Annual Rate Contract,Executed Current Month,2959680.0,3492422.4000000004,0.18,2025-04-01,2028-03-31,,Partially Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',77
SDPLDEAL-081,Timon,,COMPANY_046,Renewables,Proof of Concept,Completed,277470.0,327414.60000000003,0.18,2025-07-01,2025-08-17,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',78
SDPLDEAL-082,Timon,,COMPANY_046,Renewables,Proof of Concept,Paused,277470.0,327414.60000000003,0.18,2025-07-01,2025-08-17,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',79
SDPLDEAL-083,Subaru,,COMPANY_019,Mining,One time Project,Completed,143051.2,168800.416,0.18,2025-05-01,2025-06-25,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',80
SDPLDEAL-084,Tuxedo Mask,,COMPANY_041,Renewables,One time Project,Completed,215810.0,254655.80000000002,0.18,2025-07-01,2025-07-10,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_041',81
SDPLDEAL-085,Luffy,,COMPANY_032,Renewables,One time Project,Completed,,0.0,,2025-06-01,2025-06-30,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_032',82
SDPLDEAL-086,Alias_162,,COMPANY_052,Mining,Annual Rate Contract,Completed,710616.20832,838527.1258175999,0.18,2024-07-30,2025-07-30,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',83
SDPLDEAL-087,Alias_162,,COMPANY_052,Mining,Annual Rate Contract,Executed Current Month,1065928.752,1257795.92736,0.18,2025-04-01,2026-03-31,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',84
SDPLDEAL-088,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,154150.0,181897.0,0.18,2025-04-28,2025-08-15,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',85
SDPLDEAL-089,Obito,,COMPANY_023,Mining,Annual Rate Contract,Completed,0.0,0.0,,2025-06-21,2026-06-20,,,Not Billable,OWNER_003,warning,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_023' | [unexpected_tax_rate] Cannot calculate implied tax rate with non-positive exclusive amount 0.0,86
SDPLDEAL-090,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,223971.3176,264286.154768,0.18,2025-05-12,2025-06-20,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',87
SDPLDEAL-091,Rafiki,,COMPANY_048,Mining,Proof of Concept,Completed,0.0,0.0,,2025-06-11,2025-06-19,,,Not Billable,OWNER_003,warning,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_048' | [unexpected_tax_rate] Cannot calculate implied tax rate with non-positive exclusive amount 0.0,88
SDPLDEAL-092,Alias_160,,COMPANY_051,Mining,One time Project,Completed,357628.0,422001.04000000004,0.18,2025-05-01,2025-06-25,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',89
SDPLDEAL-093,Obito,,COMPANY_023,Mining,One time Project,Completed,76458.40000000001,90220.91200000001,0.18,2025-07-21,2025-07-25,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_023',90
SDPLDEAL-094,GG go,,COMPANY_035,Renewables,One time Project,Completed,749785.6000000001,884747.008,0.18,2025-07-15,2025-07-31,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_035',91
SDPLDEAL-095,Subaru,,COMPANY_019,Mining,One time Project,Completed,155665.60280000002,183685.411304,0.18,2025-05-01,2025-05-30,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',92
SDPLDEAL-096,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,986560.0000000001,1164140.8,0.18,2025-07-14,2025-07-28,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',93
SDPLDEAL-097,Alias_160,,COMPANY_051,Mining,One time Project,Completed,84190.564,99344.86552,0.18,2025-05-01,2025-05-31,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',94
SDPLDEAL-098,Erwin,,COMPANY_021,Mining,One time Project,Completed,319811.922,377378.06796,0.18,2025-05-26,2025-06-25,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_021',95
SDPLDEAL-099,Goku,,COMPANY_003,Railways,One time Project,Ongoing,14391444.0,16981903.92,0.18,2025-07-28,2025-09-30,,,Partially Billed,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_003',96
SDPLDEAL-100,Erwin,,COMPANY_021,Mining,Annual Rate Contract,Completed,791874.716,934412.1648799999,0.18,2025-07-01,2025-07-15,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_021',97
SDPLDEAL-102,Nami,,COMPANY_002,Mining,One time Project,Completed,64373.04,75960.1872,0.18,2025-08-04,2025-08-09,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',98
SDPLDEAL-103,Ben Tennyson,,COMPANY_033,Renewables,One time Project,Completed,487114.00000000006,574794.52,0.18,2025-07-01,2025-07-31,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_033',99
SDPLDEAL-105,Subaru,,COMPANY_019,Mining,One time Project,Completed,20563.61,24265.059800000003,0.18,2025-05-01,2025-05-29,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_019',100
SDPLDEAL-106,Yuji Itadori,,COMPANY_006,Renewables,One time Project,Completed,339130.0,400173.4,0.18,2025-08-08,2025-08-20,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_006',101
SDPLDEAL-108,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,477247.795732,563152.39896376,0.18,2025-08-14,2025-08-30,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',102
SDPLDEAL-109,Rafiki,,COMPANY_048,Renewables,Annual Rate Contract,Ongoing,616600.0,727588.0,0.18,2025-09-01,2027-08-31,,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_048',103
SDPLDEAL-111,Alias_162,,COMPANY_052,Mining,,Not Started,863240.0,1018623.2000000001,0.18,,,,,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',104
SDPLDEAL-112,Ben Tennyson,,COMPANY_034,Renewables,,Completed,215810.0,254655.80000000002,0.18,,,,,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_034',105
SDPLDEAL-113,Alphonse,,COMPANY_009,Renewables,,Not Started,607351.0,716674.18,0.18,,,,,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',106
SDPLDEAL-115,Yuji Itadori,,COMPANY_006,Renewables,,Completed,616600.0,727588.0,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_006',107
SDPLDEAL-116,Ace,,COMPANY_013,Others,,Completed,176347.6,208090.168,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_013',108
SDPLDEAL-117,Shanks,,COMPANY_012,Renewables,,Completed,221636.87000000002,261531.50660000002,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_012',109
SDPLDEAL-118,Bulbasaur,,COMPANY_050,Renewables,,Completed,308300.0,363794.0,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_050',110
SDPLDEAL-119,Sesshomaru,,COMPANY_017,Renewables,,Completed,446418.4,526773.712,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_017',111
SDPLDEAL-120,Mr. Krabs,,COMPANY_031,Mining,,Completed,554940.0,654829.2000000001,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_031',112
SDPLDEAL-121,Pumbaa,,COMPANY_047,Renewables,Annual Rate Contract,Ongoing,5224698.44,6165144.159200001,0.18,2025-09-02,2026-09-02,,Partially Billed,Partially Billed,OWNER_004,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_047',113
SDPLDEAL-122,Stitch,,COMPANY_044,Renewables,,Completed,431620.0,509311.60000000003,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_044',114
SDPLDEAL-123,Sasuke,,COMPANY_002,Mining,,Completed,371193.2,438007.976,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',115
SDPLDEAL-124,Alphonse,,COMPANY_009,Renewables,,Not Started,24664.0,29103.52,0.18,,,,Fully Billed,,,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',116
SDPLDEAL-125,Timon,,COMPANY_046,Renewables,Proof of Concept,Completed,277470.0,327414.60000000003,0.18,2025-09-11,2025-10-26,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',117
SDPLDEAL-126,Gohan,,COMPANY_026,Construction,One time Project,Completed,788298.4360000001,930192.1544799999,0.18,2025-08-01,2025-09-05,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_026',118
SDPLDEAL-127,Kaguya,,COMPANY_014,Railways,One time Project,Completed,5061052.800000001,5972042.3040000005,0.18,2025-09-15,2025-10-31,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_014',119
SDPLDEAL-128,Bugs Bunny,,COMPANY_028,Railways,One time Project,Ongoing,8789158.711280001,10371207.279310402,0.18,2025-09-15,2025-10-31,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_028',120
SDPLDEAL-129,Armin,,COMPANY_020,Mining,Annual Rate Contract,Completed,218478.6448,257804.800864,0.18,2025-07-24,2025-12-31,2025-09-20,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_020',121
SDPLDEAL-130,Armin,,COMPANY_020,Mining,Annual Rate Contract,Completed,484453.98760000005,571655.705368,0.18,2025-07-24,2025-12-31,2025-09-20,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_020',122
SDPLDEAL-131,Sakura,,COMPANY_002,Mining,One time Project,Paused,1224740.2480000001,1445193.49264,0.18,2025-09-15,2025-10-15,,,Stuck,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',123
SDPLDEAL-132,Sakura,,COMPANY_002,Mining,One time Project,Paused,1219634.8,1439169.064,0.18,2025-09-15,2025-10-15,,,Stuck,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',124
SDPLDEAL-134,Gojo,,COMPANY_005,Mining,One time Project,Completed,192009.24000000002,226570.9032,0.18,2025-09-27,2025-10-15,,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',125
SDPLDEAL-133,Faye Valentine,,COMPANY_010,Renewables,One time Project,Completed,57487090.490128,67834766.77835104,0.18,2025-09-11,2025-09-19,,Fully Billed,Billed,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_010',126
SDPLDEAL-135,Alias_160,,COMPANY_051,Mining,One time Project,Completed,89407.0,105500.26000000001,0.18,2025-05-01,2025-05-27,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',127
SDPLDEAL-136,Scooby-Doo,,COMPANY_002,Mining,One time Project,Ongoing,143051.2,168800.416,0.18,2025-09-29,2025-10-10,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',128
SDPLDEAL-137,Scooby-Doo,,COMPANY_002,Mining,One time Project,Ongoing,143051.2,168800.416,0.18,2025-09-29,2025-10-30,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',129
SDPLDEAL-138,Alias_160,,COMPANY_051,Mining,One time Project,Paused,261901.71324000004,309044.02162320004,0.18,2025-10-06,2025-10-30,,Not Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',130
SDPLDEAL-139,Scooby-Doo,,COMPANY_002,Mining,One time Project,Ongoing,699730.012,825681.4141599999,0.18,2025-09-20,2025-10-20,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',131
SDPLDEAL-140,Trunks,,COMPANY_015,Railways,One time Project,Ongoing,3237150.0,3819837.0,0.18,2025-09-29,2025-10-31,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_015',132
SDPLDEAL-141,Scooby-Doo,,COMPANY_002,Mining,One time Project,Not Started,383192.23600000003,452166.83848000003,0.18,2025-09-30,2025-10-30,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',133
SDPLDEAL-142,Inuyasha,,COMPANY_016,Renewables,One time Project,Completed,419288.0,494759.84,0.18,2025-10-17,2025-11-10,2026-01-08,Stuck,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_016',134
SDPLDEAL-143,Patrick Star,,COMPANY_030,Others,One time Project,Completed,246640.00000000003,291035.2,0.18,2025-10-08,2025-10-16,2025-11-05,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_030',135
SDPLDEAL-144,Kaguya,,COMPANY_014,Railways,One time Project,Ongoing,4628199.600000001,5461275.528,0.18,2025-11-03,2025-12-01,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_014',136
SDPLDEAL-145,Sakura,,COMPANY_002,Mining,One time Project,Not Started,64373.04,75960.1872,0.18,2025-10-27,2025-11-03,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',137
SDPLDEAL-146,Scooby-Doo,,COMPANY_002,Mining,One time Project,Ongoing,679308.2200000001,801583.6996,0.18,2025-10-27,2025-11-03,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',138
SDPLDEAL-147,Katara,,COMPANY_037,Railways,One time Project,Partially Completed,1850391.9360000002,2183462.48448,0.18,2025-11-03,2025-11-11,2025-12-18,,Stuck,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_037',139
SDPLDEAL-149,Sakura,,COMPANY_002,Renewables,Monthly Contract,Ongoing,6011850.0,7093983.0,0.18,2025-11-01,2026-04-01,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',140
SDPLDEAL-150,Dolphin,,COMPANY_029,Powerline,One time Project,Ongoing,5026523.2,5931297.376,0.18,2025-08-20,2025-12-16,,,,OWNER_002,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_029',141
SDPLDEAL-151,Yuji Itadori,,COMPANY_006,Renewables,One time Project,Completed,339130.0,400173.4,0.18,2025-11-10,2025-12-01,2025-12-17,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_006',142
SDPLDEAL-152,Ben Tennyson,,COMPANY_033,Renewables,One time Project,Completed,295968.0,349242.24000000005,0.18,2025-11-07,2025-11-28,2026-01-09,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_033',143
SDPLDEAL-153,Megumi,,COMPANY_007,Renewables,One time Project,Completed,365779.45200000005,431619.75336000003,0.18,2025-04-01,2025-04-10,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_007',144
SDPLDEAL-154,Donkey,,COMPANY_040,Railways,One time Project,Ongoing,1346654.4000000001,1589052.192,0.18,2025-11-13,2025-12-31,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_040',145
SDPLDEAL-155,Donkey,,COMPANY_040,Railways,One time Project,Ongoing,9089917.200000001,10726102.296,0.18,2025-11-13,2026-01-31,,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_040',146
SDPLDEAL-156,Golden fish,,COMPANY_027,Mining,Proof of Concept,Not Started,0.0,0.0,,2025-12-01,2025-12-31,,,Not Billable,OWNER_006,warning,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_027' | [unexpected_tax_rate] Cannot calculate implied tax rate with non-positive exclusive amount 0.0,147
SDPLDEAL-157,Alphonse,,COMPANY_009,Renewables,One time Project,Not Started,277470.0,327414.60000000003,0.18,2025-11-14,2025-11-14,,Partially Billed,,OWNER_005,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',148
SDPLDEAL-158,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,477248.4,563153.1120000001,0.18,2025-10-16,2025-10-31,2025-11-01,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',149
SDPLDEAL-159,Timon,,COMPANY_046,Renewables,One time Project,Completed,277470.0,327414.60000000003,0.18,2025-11-03,2025-12-20,2025-12-05,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',150
SDPLDEAL-160,Timon,,COMPANY_046,Renewables,One time Project,Completed,277470.0,327414.60000000003,0.18,2025-11-03,2025-12-20,2025-12-04,Not Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',151
SDPLDEAL-161,Scooby-Doo,,COMPANY_002,Mining,One time Project,Completed,304452.416,359253.85088000004,0.18,2025-11-20,2025-11-30,2026-01-08,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',152
SDPLDEAL-162,Whis,,COMPANY_025,Railways,One time Project,Partially Completed,924900.0,1091382.0,0.18,2025-12-01,2025-12-31,2026-01-09,,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_025',153
